Gender;Weight;Body Shape Index;Waist;Hips;Bust/Chest;Height
Male;72;4;121.92;90.41;115.18;182.21
Male;75;4;118.4;66.22;123.48;197.6
Male;43;4;107.95;114.5;101.52;186.05
Male;67;0;106.59;90.56;98.17;184.32
Male;93;0;109.87;91.45;119.79;152.44
Male;94;4;104.92;96.21;100.22;198.12
Male;94;0;80.76;71.86;107.91;196.57
Male;61;3;104.35;85.88;108.65;198.12
Male;42;2;120.21;88.65;80.24;184.09
Male;42;3;94.81;97.78;107.27;180.85
Male;50;3;97.76;71.38;126.71;194.97
Male;47;4;82.58;70.64;105.46;189.22
Male;65;0;99.6;104.87;119.26;198.12
Male;86;4;115.22;102.6;92.12;191.09
Male;50;1;117.17;112.51;97.95;197.33
Male;87;4;78.55;68.03;90.59;150.42
Male;60;1;77.51;82.38;104.37;189.96
Male;83;1;108.11;111.24;118.53;156.3
Male;83;3;113.2;67.13;119.44;185.91
Male;75;1;118.34;95.31;124.71;180.46
Male;76;1;81.21;97.11;113.1;190.78
Male;61;1;103.27;81.03;102.6;191.29
Male;81;3;86.33;88.76;96.44;191.59
Male;80;3;84.34;69.21;130.5;184.48
Male;58;4;121.3;76.51;93.98;169.72
Male;82;3;111.36;86.84;128.39;164.66
Male;76;0;75.88;98.64;108.83;195.55
Male;76;0;86.58;92.24;98.96;192.43
Male;49;4;98.88;114.41;94.47;177.3
Male;99;4;121.92;102.93;98.53;153.55
Male;75;4;98.5;89.95;98.27;190.28
Male;50;4;88.29;71.34;105.61;190.95
Male;64;0;68.2;111.81;85.14;191.32
Male;76;1;91.94;96.15;76.2;192.15
Male;87;0;119.76;114.57;114.43;189.97
Male;82;1;78.5;107.77;96.26;152.27
Male;88;0;118.14;102.0;120.09;195.84
Male;98;4;113.78;88.31;119.67;192.59
Male;89;0;109.6;92.97;109.31;198.12
Male;55;1;102.92;80.46;119.0;147.33
Male;50;0;99.53;76.09;132.08;192.4
Male;77;4;116.77;120.33;131.57;196.7
Male;81;1;113.96;108.12;113.59;178.92
Male;69;0;90.26;94.33;87.45;194.33
Male;75;0;113.93;87.34;81.68;167.0
Male;70;4;119.66;84.66;126.12;191.64
Male;49;3;78.67;108.79;107.92;187.02
Male;91;1;99.91;114.59;103.25;190.03
Male;74;1;74.56;66.04;120.74;187.83
Male;90;4;88.39;94.2;114.26;190.17
Male;98;1;103.45;77.65;105.39;193.32
Male;72;4;84.42;92.85;107.66;177.47
Male;77;3;89.04;73.84;80.13;160.79
Male;68;1;92.46;115.55;115.94;159.73
Male;50;3;103.28;104.63;130.12;155.58
Male;79;0;95.63;66.04;91.25;194.83
Male;88;4;118.62;107.08;89.92;185.07
Male;63;0;96.19;98.1;107.83;186.79
Male;78;2;120.33;108.74;97.17;182.26
Male;56;2;104.87;66.04;126.33;188.42
Male;86;1;88.38;103.44;112.0;194.89
Male;89;1;108.77;93.31;103.45;194.33
Male;71;0;79.67;97.54;125.43;159.2
Male;65;0;106.36;84.4;108.71;177.03
Male;79;3;98.49;103.84;120.07;186.66
Male;97;4;109.06;71.97;124.29;197.47
Male;61;4;111.02;72.78;107.22;195.0
Male;89;1;111.36;77.06;106.65;147.32
Male;75;4;80.23;92.46;88.65;179.83
Male;75;1;77.62;99.96;84.71;158.61
Male;84;4;105.88;111.95;110.58;163.61
Male;78;3;120.12;92.99;125.52;155.59
Male;43;4;99.37;68.37;122.91;175.43
Male;45;4;112.26;82.32;128.57;177.22
Male;62;2;119.41;115.27;98.58;195.09
Male;89;3;104.33;94.5;125.59;159.48
Male;44;0;121.92;89.69;104.17;158.68
Male;76;1;113.4;110.85;118.47;155.23
Male;62;1;108.88;93.84;106.74;198.12
Male;58;4;113.1;106.78;106.88;186.7
Male;52;4;98.02;66.32;103.41;152.45
Male;49;4;93.29;66.04;83.9;159.05
Male;82;1;92.95;95.96;109.49;198.12
Male;57;1;118.84;89.63;98.79;182.52
Male;68;0;95.03;93.21;107.92;198.12
Male;104;4;121.92;86.76;119.14;189.54
Male;68;1;72.95;95.25;123.33;158.8
Male;87;4;113.73;95.81;104.6;189.06
Male;68;0;110.95;91.68;84.53;190.08
Male;57;1;84.31;78.85;96.56;162.01
Male;77;3;99.28;66.04;117.08;198.12
Male;75;3;108.69;72.36;118.91;170.97
Male;78;0;107.07;85.19;123.52;165.25
Male;86;3;118.37;97.64;123.56;188.39
Male;71;3;120.23;91.35;121.33;147.32
Male;88;3;91.48;95.24;95.27;190.97
Male;49;1;84.78;70.47;122.33;190.85
Male;82;1;115.5;95.13;102.18;165.19
Male;66;4;100.8;84.52;111.58;192.37
Male;71;0;78.16;73.43;107.28;190.03
Male;70;1;110.02;67.05;76.86;198.12
Male;84;1;121.92;76.56;112.83;196.62
Male;78;1;111.76;95.54;85.69;190.26
Male;89;2;121.07;118.49;76.2;183.89
Male;103;4;121.47;96.35;115.26;193.95
Male;70;2;110.47;97.96;92.74;189.52
Male;87;1;71.81;94.12;77.75;197.77
Male;88;1;102.0;87.5;82.29;188.86
Male;44;0;97.3;96.56;92.28;197.28
Male;54;1;103.68;66.04;129.38;189.72
Male;78;1;118.75;104.73;104.04;194.77
Male;51;1;98.53;87.92;117.45;159.34
Male;42;3;91.7;74.58;91.0;198.12
Male;52;1;103.82;117.18;118.33;197.21
Male;55;0;77.84;81.35;109.15;195.66
Male;82;0;103.65;80.64;119.14;168.65
Male;79;0;109.3;89.33;114.02;198.12
Male;77;0;96.22;98.73;102.8;185.86
Male;69;3;112.05;107.03;95.55;167.32
Male;62;0;100.04;85.66;130.99;182.96
Male;66;1;115.21;76.25;82.81;164.61
Male;75;3;88.32;94.96;84.93;197.63
Male;86;1;115.01;93.04;88.46;196.15
Male;42;0;115.12;92.04;92.19;184.46
Male;85;1;113.15;117.59;87.83;176.4
Male;73;2;78.91;80.28;105.1;182.99
Male;90;4;82.35;86.11;95.5;185.63
Male;96;0;121.92;116.59;88.34;190.34
Male;69;3;67.85;92.68;117.67;170.91
Male;82;1;117.93;106.6;101.26;163.47
Male;42;1;112.04;76.71;115.42;175.19
Male;68;1;93.05;69.22;112.32;189.85
Male;67;1;83.01;91.53;116.14;198.12
Male;90;4;75.13;93.58;87.17;187.3
Male;79;1;101.87;71.23;105.75;178.78
Male;101;1;85.33;104.81;96.85;187.41
Male;59;1;72.43;73.31;84.84;163.27
Male;82;1;87.53;78.69;131.6;191.63
Male;95;1;102.46;99.62;76.2;151.32
Male;61;4;119.84;91.09;128.45;197.54
Male;78;3;107.53;77.91;132.08;195.24
Male;83;3;120.51;87.07;102.7;163.94
Male;65;4;105.27;113.44;97.33;192.61
Male;115;4;86.95;88.83;118.37;186.11
Male;68;3;93.13;113.66;93.67;170.75
Male;72;3;82.9;66.04;131.23;168.96
Male;74;0;106.84;110.71;103.69;181.36
Male;80;2;83.33;104.46;88.81;182.87
Male;44;1;104.81;96.85;79.84;188.72
Male;43;3;108.38;83.94;91.63;168.74
Male;85;3;81.95;66.04;119.99;192.29
Male;69;3;116.9;125.01;107.02;188.59
Male;95;1;114.86;116.93;81.1;189.54
Male;77;2;104.16;85.31;119.26;183.27
Male;58;2;119.03;85.55;91.52;189.17
Male;95;4;86.28;115.22;124.83;185.91
Male;88;0;68.73;91.34;132.08;193.2
Male;50;1;96.01;92.69;117.35;180.75
Male;87;1;97.3;108.22;102.6;189.33
Male;72;0;104.1;100.2;105.88;155.37
Male;92;0;79.5;93.77;109.46;192.3
Male;88;3;113.92;71.07;106.91;198.12
Male;93;1;108.81;119.29;117.75;185.17
Male;87;3;120.96;109.69;98.45;158.79
Male;94;0;109.7;100.03;101.9;183.81
Male;64;4;90.35;100.78;127.29;193.8
Male;64;0;88.31;119.41;122.3;196.97
Male;83;4;121.92;105.3;105.13;198.12
Male;72;0;81.68;94.93;83.72;180.3
Male;66;1;84.45;66.04;91.86;174.08
Male;56;1;120.95;106.04;104.04;187.29
Male;50;4;97.2;66.04;117.22;155.87
Male;61;4;91.02;93.59;100.0;193.25
Male;59;1;121.92;115.08;94.06;187.85
Male;90;3;100.43;84.49;132.08;190.67
Male;89;0;99.78;100.08;129.32;198.12
Male;86;1;103.22;94.79;115.06;169.42
Male;77;3;92.65;101.14;98.93;192.18
Male;50;3;80.02;83.21;111.84;195.66
Male;90;0;105.52;66.93;126.61;185.03
Male;90;0;94.45;98.9;87.83;198.12
Male;88;3;104.77;81.09;122.06;158.72
Male;70;1;83.34;96.22;116.89;179.52
Male;66;4;85.61;84.51;97.27;191.84
Male;43;0;84.19;87.99;108.87;161.41
Male;62;0;94.35;120.13;80.61;187.06
Male;66;4;111.63;110.88;101.23;191.19
Male;81;3;121.92;115.46;122.71;179.74
Male;60;0;117.97;100.87;81.51;196.62
Male;63;4;107.45;92.98;118.31;195.32
Male;42;0;88.13;66.04;129.33;198.12
Male;84;3;85.64;70.49;117.65;191.31
Male;88;2;109.22;106.17;103.93;168.5
Male;51;0;103.6;71.21;96.39;182.44
Male;65;4;82.59;73.41;129.04;194.9
Male;95;0;109.26;80.7;81.5;192.33
Male;94;0;120.08;108.98;125.43;155.73
Male;75;1;121.92;85.62;111.46;168.75
Male;42;0;83.62;66.04;132.08;181.85
Male;61;3;88.81;71.71;115.02;171.63
Male;96;0;111.98;88.95;123.1;174.97
Male;47;0;70.31;75.11;109.64;157.04
Male;81;0;93.23;106.98;111.66;194.76
Male;68;1;121.92;70.79;98.87;190.39
Male;61;0;104.0;105.7;127.0;186.95
Male;78;1;107.48;91.3;116.75;163.37
Male;73;4;109.79;73.99;101.02;167.13
Male;68;3;86.33;66.04;102.24;178.83
Male;45;0;110.86;94.75;90.6;196.37
Male;94;1;83.91;112.92;95.13;188.35
Male;84;2;112.28;99.52;103.51;186.61
Male;86;0;104.07;66.04;81.62;198.12
Male;55;0;113.78;120.79;83.92;191.68
Male;47;0;87.65;87.68;98.63;178.5
Male;65;0;111.93;114.48;107.71;182.08
Male;42;4;117.28;83.43;112.02;188.27
Male;84;2;84.4;91.14;80.95;173.04
Male;71;1;81.61;104.01;112.35;189.2
Male;65;3;88.88;102.95;90.69;198.12
Male;69;3;88.4;74.26;103.71;184.8
Male;79;0;80.59;82.67;83.75;195.95
Male;73;0;79.36;83.41;118.19;147.66
Male;50;0;102.21;89.78;125.58;189.21
Male;88;3;73.72;113.17;94.23;179.08
Male;76;4;121.92;88.32;109.25;148.49
Male;91;1;107.74;115.21;108.54;152.03
Male;96;2;93.08;115.04;127.37;198.12
Male;72;1;102.24;102.91;105.73;191.7
Male;80;0;107.39;116.39;113.78;186.21
Male;73;0;99.14;122.95;80.42;174.32
Male;70;1;74.13;66.04;107.74;198.12
Male;71;3;108.69;78.79;105.1;191.11
Male;71;1;121.92;66.04;122.02;196.03
Male;55;1;109.02;102.97;117.44;192.14
Male;79;4;96.15;73.98;114.19;187.88
Male;66;4;121.92;111.48;102.26;186.04
Male;57;0;112.09;106.06;84.33;193.15
Male;92;1;88.1;98.03;82.78;198.12
Male;46;3;76.13;111.3;87.7;198.12
Male;73;0;117.64;110.16;82.93;197.4
Male;80;1;107.76;66.04;96.11;186.62
Male;64;1;121.92;120.29;102.1;195.69
Male;45;1;84.53;102.14;101.12;187.41
Male;44;1;109.94;108.51;128.86;150.33
Male;76;0;117.91;100.31;100.28;189.58
Male;103;3;121.92;79.38;126.64;194.54
Male;84;3;84.16;79.79;117.49;180.35
Male;86;0;115.52;110.7;98.5;190.19
Male;73;1;107.43;94.9;89.05;180.09
Male;61;0;81.67;76.47;123.09;184.75
Male;72;0;114.34;67.8;121.42;187.77
Male;75;4;121.57;91.47;115.63;190.05
Male;71;4;101.38;82.55;111.05;192.81
Male;65;4;94.94;92.19;117.99;176.46
Male;89;1;78.01;74.22;84.86;158.26
Male;87;2;103.82;99.17;120.48;182.22
Male;75;0;114.69;75.05;110.03;184.48
Male;62;0;80.01;81.32;98.77;168.82
Male;73;2;110.68;96.81;100.53;171.96
Male;53;0;116.52;87.5;105.24;171.77
Male;77;1;94.46;102.99;79.03;174.06
Male;60;3;110.22;80.66;111.51;178.26
Male;80;1;121.92;93.99;119.17;183.36
Male;84;0;77.72;100.28;94.6;196.41
Male;51;4;89.91;71.05;116.25;176.07
Male;79;4;103.66;67.93;108.55;187.59
Male;72;1;83.97;66.04;118.11;186.29
Male;89;0;117.22;80.11;125.54;192.56
Male;81;2;120.74;109.67;83.45;194.89
Male;71;2;105.8;66.04;125.49;176.33
Male;81;0;97.14;91.52;108.8;195.32
Male;52;2;83.03;84.9;103.69;192.1
Male;79;0;105.23;102.23;101.44;179.57
Male;89;0;94.43;70.91;131.62;182.25
Male;76;0;109.8;79.19;90.08;184.94
Male;70;3;93.82;91.01;119.6;192.59
Male;57;0;121.64;93.89;122.09;151.69
Male;60;3;110.87;114.58;102.61;176.65
Male;66;0;118.18;96.84;108.43;147.32
Male;62;2;121.92;92.61;108.49;195.66
Male;78;0;108.18;103.03;124.98;193.76
Male;66;2;121.92;66.04;114.5;191.91
Male;90;4;107.36;77.36;84.83;198.12
Male;61;1;91.82;66.04;81.99;183.79
Male;59;1;115.49;127.0;81.33;182.38
Male;64;0;88.39;88.55;131.01;187.01
Male;54;0;119.73;66.04;111.4;197.32
Male;85;1;104.25;66.04;116.59;195.59
Male;72;0;105.64;86.91;104.09;197.27
Male;77;1;87.11;116.6;100.69;189.43
Male;94;4;121.92;70.63;76.5;164.27
Male;77;3;71.06;69.53;99.85;195.85
Male;79;0;121.92;90.05;106.89;188.75
Male;70;2;99.51;92.97;92.71;196.88
Male;92;4;84.64;112.95;96.49;198.07
Male;76;1;69.56;66.04;118.48;183.62
Male;75;4;104.27;75.59;106.8;191.9
Male;47;2;68.5;93.24;103.59;198.12
Male;87;1;101.92;94.13;97.06;189.01
Male;112;3;103.74;93.12;107.2;178.87
Male;92;0;91.74;66.04;106.16;181.05
Male;78;4;113.99;82.03;94.14;159.82
Male;60;3;101.85;78.04;102.8;198.12
Male;89;2;102.13;90.97;126.56;180.25
Male;55;2;107.88;66.04;93.53;170.42
Male;94;0;99.56;112.11;81.89;193.27
Male;87;0;104.24;88.34;81.3;181.44
Male;83;0;119.36;86.26;120.94;198.12
Male;104;1;120.0;113.2;122.85;181.05
Male;88;1;81.17;66.04;127.4;192.69
Male;85;4;105.62;81.92;115.54;189.6
Male;78;4;107.69;98.3;97.17;157.87
Male;64;1;118.67;78.48;110.42;191.67
Male;63;0;92.76;110.99;113.21;163.2
Male;79;1;107.56;66.04;118.07;195.09
Male;76;1;120.74;97.02;119.22;187.7
Male;58;1;118.12;66.04;76.2;194.69
Male;81;1;102.45;119.83;91.45;186.77
Male;64;4;99.22;113.32;78.81;184.35
Male;42;2;104.81;119.64;98.18;159.3
Male;68;0;107.14;107.54;124.59;169.62
Male;89;2;94.86;72.39;104.3;196.31
Male;70;1;108.25;95.46;110.96;196.98
Male;55;2;73.13;105.98;81.95;194.22
Male;43;1;93.39;75.08;131.25;167.44
Male;88;1;109.67;86.94;105.08;151.84
Male;76;4;98.41;81.36;108.37;181.34
Male;51;1;109.21;96.45;108.45;182.41
Male;90;3;100.55;113.5;103.6;178.04
Male;89;1;121.92;78.58;130.57;193.02
Male;67;1;112.65;71.95;109.82;155.2
Male;74;4;94.35;66.04;101.58;180.93
Male;88;1;117.8;79.92;132.08;195.06
Male;42;1;97.27;80.61;97.19;180.25
Male;80;4;113.34;105.7;78.67;198.12
Male;58;1;109.9;93.15;116.28;193.64
Male;93;3;109.32;67.11;111.11;192.49
Male;80;2;118.33;66.04;124.66;198.12
Male;54;1;117.97;112.47;114.19;166.67
Male;78;3;97.5;66.04;131.28;184.01
Male;64;0;113.24;77.9;104.78;163.68
Male;70;2;102.67;72.52;100.12;186.78
Male;48;4;103.12;107.62;105.37;197.25
Male;67;2;103.93;66.08;104.58;180.3
Male;56;1;91.65;96.31;128.41;177.66
Male;67;1;117.78;66.04;102.02;153.24
Male;62;3;109.07;82.59;121.72;193.1
Male;66;0;81.69;83.81;129.19;183.11
Male;62;1;102.12;93.41;114.02;169.48
Male;77;4;94.4;79.57;102.91;168.7
Male;54;3;94.0;117.34;104.36;189.87
Male;53;4;116.51;66.04;102.56;156.75
Male;87;1;121.25;66.04;109.49;182.23
Male;88;2;93.72;69.57;115.65;185.84
Male;82;4;95.48;71.45;131.5;196.92
Male;71;4;117.2;97.36;103.56;198.12
Male;66;2;82.46;66.04;125.2;197.69
Male;75;0;114.92;115.77;119.94;186.88
Male;79;1;116.87;91.12;100.58;162.24
Male;48;0;109.14;97.78;115.24;196.22
Male;83;1;74.69;96.41;87.61;177.57
Male;79;3;101.88;77.46;117.52;196.37
Male;95;0;111.43;112.66;83.03;184.63
Male;78;3;115.02;87.75;123.92;160.27
Male;71;3;79.73;74.17;93.33;176.73
Male;86;3;109.72;70.68;128.5;156.12
Male;85;1;117.0;106.87;102.09;191.11
Male;65;0;78.67;94.14;92.03;188.45
Male;71;4;72.2;84.43;111.07;198.12
Male;68;2;119.38;91.42;111.05;158.02
Male;94;0;113.03;73.65;104.74;189.41
Male;65;4;104.33;122.86;124.15;147.32
Male;63;1;107.5;66.55;80.09;155.71
Male;47;0;95.67;105.73;104.94;193.21
Male;81;1;109.44;103.06;132.08;193.7
Male;42;3;104.05;119.0;107.15;192.13
Male;93;3;112.19;80.17;80.37;193.48
Male;42;0;118.08;95.95;91.8;197.76
Male;55;2;90.41;69.0;104.74;198.12
Male;81;1;83.94;112.56;85.54;195.64
Male;74;0;118.8;109.08;83.43;196.52
Male;79;4;99.03;66.61;85.13;189.48
Male;86;2;121.92;85.07;95.27;181.01
Male;90;1;121.92;67.8;111.11;168.06
Male;81;0;111.2;119.28;126.12;177.93
Male;80;3;107.07;116.7;114.08;187.38
Male;70;3;108.87;105.14;106.71;186.27
Male;93;3;98.7;86.75;98.16;185.75
Male;69;3;121.92;72.42;128.08;187.68
Male;103;1;116.29;90.19;123.46;198.12
Male;61;3;119.88;118.39;88.37;166.14
Male;51;0;71.17;66.04;119.1;198.12
Male;42;0;95.92;100.1;97.86;190.24
Male;70;0;112.8;103.16;108.52;159.65
Male;82;1;93.92;99.27;86.06;194.65
Male;83;0;102.77;113.27;104.9;188.79
Male;74;3;113.36;74.81;101.15;150.44
Male;46;3;117.56;93.98;97.35;198.12
Male;79;2;106.86;80.02;99.43;194.17
Male;50;0;121.92;101.71;84.66;163.25
Male;43;4;102.13;95.74;94.76;189.93
Male;52;1;80.57;111.57;106.66;193.5
Male;92;1;67.87;66.04;123.58;159.94
Male;83;1;106.38;81.82;103.96;191.0
Male;80;4;117.96;81.8;124.74;197.89
Male;85;1;109.36;103.38;101.71;182.26
Male;66;4;112.4;79.65;97.65;151.05
Male;78;1;121.92;98.68;109.57;179.22
Male;63;1;102.07;77.66;109.53;183.92
Male;68;1;101.89;66.04;106.87;155.35
Male;71;3;121.47;78.51;91.79;198.12
Male;66;0;112.13;114.98;91.77;193.13
Male;88;3;109.06;111.32;105.46;191.17
Male;91;0;116.14;78.12;79.65;195.81
Male;56;0;72.54;66.04;116.63;192.67
Male;64;0;99.61;74.8;128.63;197.88
Male;82;0;83.64;97.13;104.77;194.05
Male;54;1;121.92;85.93;131.9;181.35
Male;69;4;114.38;66.04;114.6;186.81
Male;86;1;108.72;66.04;94.72;171.09
Male;75;3;120.87;78.28;86.63;154.42
Male;84;0;107.3;90.92;112.42;159.8
Male;88;1;76.51;98.94;120.05;167.07
Male;76;0;100.11;74.09;97.76;191.14
Male;87;3;108.83;66.04;114.09;168.37
Male;71;2;105.17;97.76;98.31;190.53
Male;72;0;81.33;106.6;112.48;198.12
Male;80;2;91.7;73.01;110.57;198.12
Male;76;3;116.72;111.93;122.92;162.4
Male;75;3;81.69;115.07;124.3;161.84
Male;93;1;98.38;76.15;91.77;178.7
Male;63;4;110.11;107.58;111.75;186.14
Male;73;0;97.04;97.39;121.59;194.37
Male;68;4;88.38;66.04;102.01;162.48
Male;76;1;102.09;118.05;106.95;173.33
Male;45;0;92.06;68.27;80.24;197.55
Male;70;3;115.6;95.32;106.33;194.64
Male;44;3;80.14;98.76;99.97;191.95
Male;63;4;81.79;81.37;99.46;181.48
Male;79;1;95.23;68.43;80.25;198.12
Male;64;1;104.76;90.37;94.34;186.51
Male;62;1;106.51;111.49;111.0;159.65
Male;78;1;85.79;108.71;95.87;175.32
Male;72;0;121.92;117.09;120.8;184.8
Male;42;4;66.09;79.48;95.84;198.12
Male;58;0;111.54;75.58;101.44;183.87
Male;90;0;110.42;76.73;122.3;192.59
Male;90;3;106.24;71.61;102.85;158.75
Male;60;1;120.91;101.88;106.57;190.35
Male;42;3;99.68;66.04;124.59;182.33
Male;85;4;100.81;78.77;115.35;190.36
Male;84;3;115.53;66.04;132.08;198.12
Male;60;0;86.89;98.49;100.48;195.22
Male;68;4;114.38;76.64;99.81;198.12
Male;67;1;121.92;66.04;94.82;168.87
Male;73;0;117.74;74.84;84.49;190.44
Male;107;0;120.71;96.92;132.08;170.21
Male;45;3;91.57;95.5;104.97;160.3
Male;76;1;78.07;75.14;81.45;195.9
Male;83;4;109.61;86.1;113.04;191.85
Male;68;3;100.14;88.55;125.04;173.15
Male;68;1;110.48;79.1;113.35;172.44
Male;93;0;98.39;98.83;110.07;190.08
Male;79;2;89.41;112.88;76.2;168.1
